"filename", "language", "JavaScript React", "JavaScript", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/animate.css", "CSS", 0, 0, 1264, 0, 0, 0, 15, 315, 1594
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/bootstrap.min.css", "CSS", 0, 0, 2, 0, 0, 0, 5, 0, 7
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-down.css", "CSS", 0, 0, 112, 0, 0, 0, 0, 8, 120
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-left.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 7, 115
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-right.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 7, 115
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-up.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 7, 115
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/rotate-x.css", "CSS", 0, 0, 84, 0, 0, 0, 0, 7, 91
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/rotate-y.css", "CSS", 0, 0, 86, 0, 0, 0, 0, 7, 93
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/flaticon.css", "CSS", 0, 0, 784, 0, 0, 0, 0, 3, 787
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/magnific-popup.css", "CSS", 0, 0, 307, 0, 0, 0, 12, 36, 355
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/menu.css", "CSS", 0, 0, 1303, 0, 0, 0, 72, 191, 1566
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/owl.carousel.min.css", "CSS", 0, 0, 1, 0, 0, 0, 5, 0, 6
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/owl.theme.default.min.css", "CSS", 0, 0, 1, 0, 0, 0, 5, 0, 6
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/responsive.css", "CSS", 0, 0, 13142, 0, 0, 0, 581, 1061, 14784
"/Users/brunopaula/Desktop/fmb/website/fmb/public/css/style.css", "CSS", 0, 0, 6511, 0, 0, 0, 695, 1166, 8372
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/animate.css", "CSS", 0, 0, 1264, 0, 0, 0, 15, 315, 1594
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/bootstrap.min.css", "CSS", 0, 0, 2, 0, 0, 0, 5, 0, 7
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-down.css", "CSS", 0, 0, 112, 0, 0, 0, 0, 8, 120
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-left.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 7, 115
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-right.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 7, 115
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-up.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 7, 115
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/rotate-x.css", "CSS", 0, 0, 84, 0, 0, 0, 0, 7, 91
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/rotate-y.css", "CSS", 0, 0, 86, 0, 0, 0, 0, 7, 93
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/menu.css", "CSS", 0, 0, 1160, 0, 0, 0, 72, 194, 1426
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/style.css", "CSS", 0, 0, 1618, 0, 0, 0, 67, 1, 1686
"/Users/brunopaula/Desktop/fmb/website/fmb/public/demo/images/FMB-Logo-white.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/brunopaula/Desktop/fmb/website/fmb/public/fonts/flaticon.svg", "XML", 0, 0, 0, 0, 0, 1548, 0, 1, 1549
"/Users/brunopaula/Desktop/fmb/website/fmb/public/images/logo/FMB-white.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/brunopaula/Desktop/fmb/website/fmb/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4
"/Users/brunopaula/Desktop/fmb/website/fmb/pull_request_template.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 11, 36
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/Blogs.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 2, 148
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/Counter.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/CustomersReviews.js", "JavaScript", 0, 448, 0, 0, 0, 0, 0, 3, 451
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/Faq.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 2, 153
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/Features.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 2, 94
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/PowerfulFeatures.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 2, 83
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/Price.js", "JavaScript", 0, 261, 0, 0, 0, 0, 0, 2, 263
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/ShareFiles.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 2, 54
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/VideoContent.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 5, 80
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/VideoPopup.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 9, 70
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/About2.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 2, 56
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutbrands2.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 2, 148
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutcontent3.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 2, 108
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutcontent5.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 2, 61
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutcta5.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 2, 36
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutfeatures4.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 2, 165
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutfeatures8.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 2, 94
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutreviews1.js", "JavaScript", 0, 402, 0, 0, 0, 0, 0, 3, 405
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutstatistic4.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 3, 71
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutteam1.js", "JavaScript", 0, 212, 0, 0, 0, 0, 0, 2, 214
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/app/AppFeatures.jsx", "JavaScript React", 63, 0, 0, 0, 0, 0, 3, 4, 70
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/app/index.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/counterWidget/Counter.jsx", "JavaScript React", 100, 0, 0, 0, 0, 0, 0, 7, 107
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/counterWidget/index.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fbrands1.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 3, 139
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent1.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 2, 61
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent10.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 3, 38
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent2.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 3, 60
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent2a.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 2, 59
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent3.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 3, 170
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent7.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 2, 67
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcta3.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 2, 46
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ffaqs2.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 2, 153
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ffeatures4.js", "JavaScript", 0, 148, 0, 0, 0, 0, 0, 2, 150
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ffeatures8.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 2, 94
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Freviews1.js", "JavaScript", 0, 399, 0, 0, 0, 0, 0, 3, 402
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fstatistic2.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 3, 57
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ftabs2.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 2, 85
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/hero/Hero.jsx", "JavaScript React", 55, 0, 0, 0, 0, 0, 7, 3, 65
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/hero/Hero1.jsx", "JavaScript React", 41, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/hero/index.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/howitworks/HowItWorks.jsx", "JavaScript React", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/howitworks/howitworks.css", "CSS", 0, 0, 2, 0, 0, 0, 3, 2, 7
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/howitworks/index.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/ShareFiles.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 2, 49
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1Hero1.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 3, 71
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content1.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 3, 112
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content10.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 3, 68
